소방서명,119안전센터명,주소,구이름,동이름,위도,경도
강북소방서,효령119안전센터,대구광역시 군위군 효령면 중리길 7-32,군위군,효령,36.1539911,128.5830439
강북소방서,군위119안전센터,대구광역시 군위군 군위읍 군위공단길 65,군위군,군위,36.20760550000001,128.5604421
강북소방서,의흥119안전센터,대구광역시 군위군 의흥면 읍내길 23,군위군,의흥,36.1766557,128.7138976
강북소방서,부계119안전센터,대구광역시 군위군 부계면 창평길 3-1,군위군,부계,36.1008239,128.6641162
중부소방서,성명119안전센터,대구광역시 남구 대명남로 12-1,남구,성명,35.8334378,128.56015
중부소방서,봉덕119안전센터,대구광역시 남구 희망로3길 29,남구,봉덕,35.84907,128.599284
중부소방서,명덕119안전센터,대구광역시 남구 명덕로34길 22,남구,명덕,35.8555348,128.5872059
달서소방서,죽전119안전센터,대구광역시 달서구 와룡로 222,달서구,죽전,35.8525755,128.5376908
달서소방서,월성119안전센터,대구광역시 달서구 학산로 75,달서구,월성,35.8310598,128.5347216
달서소방서,송현119안전센터,대구광역시 달서구 월배로 262,달서구,송현,35.8200064,128.5421067
달서소방서,본리119안전센터,대구광역시 달서구 대명천로 134,달서구,본리,35.8396828,128.5450731
달서소방서,도원119안전센터,대구광역시 달서구 도원로 8,달서구,도원,35.8089796,128.535828
강서소방서,성서119안전센터,대구광역시 달서구 성서로 357,달서구,성서,35.8493821,128.5068234
강서소방서,대천119안전센터,대구광역시 달서구 달서대로58길 129,달서구,대천,35.8248432,128.5068484
강서소방서,매곡119안전센터,대구광역시 달성군 다사읍 달구벌대로 753,달성군,매곡,35.8613666,128.4545108
강서소방서,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,달성군,다사,35.85547,128.4677616
달성소방서,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,달성군,구지,35.6404124,128.4168061
달성소방서,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,달성군,논공,35.73015040000001,128.4520827
달성소방서,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,달성군,옥포,35.7816462,128.4437473
달성소방서,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,달성군,현풍,35.6826929,128.4454146
달성소방서,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,달성군,화원,35.7987558,128.5016359
수성소방서,가창119안전센터,대구광역시 달성군 가창면 가창로 547,달성군,가창,35.7638535,128.6474141
동부소방서,안심119안전센터,대구광역시 동구 매여로 102,동구,안심,35.8891383,128.7085291
동부소방서,신천119안전센터,대구광역시 동구 효신로 13,동구,신천,35.8765602,128.6334588
동부소방서,혁신119안전센터,대구광역시 동구 각산동 1022,동구,혁신,35.8871267,128.7079208
동부소방서,동촌119안전센터,대구광역시 동구 해동로 180,동구,동촌,35.8866986,128.6485255
동부소방서,공산119안전센터,대구광역시 동구 팔공산로 1579,동구,공산,35.9627705,128.6972224
동부소방서,불로봉무119안전센터,대구광역시 동구 팔공로50길 19,동구,불로봉무,35.92207800000001,128.6436741
강북소방서,금호119안전센터,대구광역시 북구 한강로 105,북구,금호,35.8961895,128.5213366
강북소방서,무태119안전센터,대구광역시 북구 호국로43길 21,북구,무태,35.920681,128.5969344
강북소방서,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,북구,읍내,35.9463335,128.551592
강북소방서,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,북구,태전,35.9123545,128.5488218
강북소방서,구암119안전센터,대구광역시 북구 구암서로 71,북구,구암,35.9398209,128.5657421
북부소방서,침산119안전센터,대구광역시 북구 침산남로 149,북구,침산,35.888043,128.5925138
북부소방서,노원119안전센터,대구광역시 북구 노원로 42,북구,노원,35.8918525,128.5675637
북부소방서,칠성119안전센터,대구광역시 북구 칠성남로 112,북구,칠성,35.8776343,128.5925563
북부소방서,대현119안전센터,대구광역시 북구 대현로 105,북구,대현,35.8822785,128.6108944
북부소방서,산격119안전센터,대구광역시 북구 유통단지로8길 88,북구,산격,35.9059651,128.6144715
서부소방서,비산119안전센터,대구광역시 서구 달서로 206,서구,비산,35.8804978,128.5719667
서부소방서,이현119안전센터,대구광역시 서구 국채보상로 119,서구,이현,35.8690676,128.5441487
서부소방서,평리119안전센터,대구광역시 서구 달서천로 186,서구,평리,35.8816503,128.5542816
서부소방서,내당119안전센터,대구광역시 서구 서대구로3길 16,서구,내당,35.859393,128.5553323
수성소방서,황금119안전센터,대구광역시 수성구 동대구로12길 41,수성구,황금,35.8356679,128.6265762
수성소방서,수성119안전센터,대구광역시 수성구 들안로60길 30,수성구,수성,35.85683849999999,128.6208932
수성소방서,범물119안전센터,대구광역시 수성구 청호로 87,수성구,범물,35.8255924,128.6443895
수성소방서,무열로119안전센터,대구광역시 수성구 무열로 139,수성구,무열로,35.8709145,128.6481174
수성소방서,고산119안전센터,대구광역시 수성구 고산로 105,수성구,고산,35.8407297,128.7045844
수성소방서,상동119안전센터,대구광역시 수성구 파동로51길 5,수성구,상동,35.8251697,128.6095968
수성소방서,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,수성구,만촌,35.8555472,128.6521514
중부소방서,남산119안전센터,대구광역시 중구 달구벌대로 1926,중구,남산,35.862301,128.5752872
중부소방서,대신119안전센터,대구광역시 중구 큰장로26길 45,중구,대신,35.8688383,128.5807376
중부소방서,삼덕119안전센터,대구광역시 중구 공평로 35,중구,삼덕,35.8672283,128.599624
중부소방서,서문로119안전센터,대구광역시 중구 경상감영길 45,중구,서문로,35.8715194,128.5898969
