부서명,위 치,정원,장 비(소방차량)계,펌프,탱크,고가굴절,화학,구조,구급,기타,관할면적(제곱킬로미터_km2),안전센터,구조대,지역대
소방안전본부,달서구 와룡로49길 30,168,14,0,0,0,0,0,1,13,0,0,0,0
119특수대응단,동구 지저동 465-5,64,12,0,0,0,1,2,0,9,0,0,0,0
시민안전테마파크,동구 팔공산로 1155,27,1,0,0,0,0,0,0,1,0,0,0,0
중부소방서,중구 달구벌대로 1926,361,57,13,6,4,1,5,10,18,24.49,7,2,2
동부소방서,동구 동대구로 507,325,51,7,6,3,2,6,9,18,182.15,6,2,0
서부소방서,서구 달서천로 186,236,43,6,3,3,3,4,6,18,17.32,4,1,0
북부소방서,북구 칠성남로 112,287,45,9,5,3,1,4,8,15,20.27,5,1,2
수성소방서,수성구 청호로 87,357,55,10,8,2,1,4,11,19,187.87,8,1,0
달서소방서,달서구 학산로 75,272,43,7,4,2,2,4,7,17,41.66,5,1,0
달성소방서,달성군 현풍면 비슬로 480,262,48,9,5,2,1,5,8,18,242.15,5,1,0
강서소방서,달성군 다사읍 달구벌대로 920,246,44,7,3,3,3,4,7,17,95.59,4,1,1
강북소방서,북구 구암서로 71,375,69,13,8,3,2,5,13,25,688.03,7,2,2
