연번,소방서,부서,배치센터,대수
1,중부,119구급대,남산,2
2,중부,119구급대,서문로,1
3,중부,119구급대,봉덕,1
4,중부,119구급대,삼덕,1
5,중부,119구급대,대명,1
6,중부,119구급대,명덕,1
7,중부,119구급대,성명,1
8,동부,119구급대,신천,2
9,동부,119구급대,동촌,1
10,동부,119구급대,안심,1
11,동부,119구급대,불로,1
12,동부,119구급대,공산,1
13,동부,119구급대,율하,1
14,동부,119구급대,예비,1
15,서부,119구급대,평리,2
16,서부,119구급대,이현,1
17,서부,119구급대,읍내,1
18,서부,119구급대,내당,1
19,서부,119구급대,비산,1
20,서부,119구급대,태전,1
21,서부,119구급대,동천,1
22,서부,119구급대,금호,1
23,북부,119구급대,칠성,2
24,북부,119구급대,침산,1
25,북부,119구급대,노원,1
26,북부,119구급대,대현,1
27,북부,119구급대,무태,1
28,북부,119구급대,산격,1
29,북부,119구급대,복현지역대,1
30,수성,119구급대,범물,2
31,수성,119구급대,만촌,1
32,수성,119구급대,황금,1
33,수성,119구급대,상동,1
34,수성,119구급대,수성,1
35,수성,119구급대,고산,1
36,수성,119구급대,무열로,1
37,수성,119구급대,가창,1
38,달서,119구급대,월성,1
39,달서,119구급대,월서,1
40,달서,119구급대,본리,1
41,달서,119구급대,송현,1
42,달서,119구급대,도원,1
43,달서,119구급대,죽전,1
44,달성,119구급대,현풍,2
45,달성,119구급대,논공,1
46,달성,119구급대,화원,1
47,달성,119구급대,구지,1
48,달성,119구급대,옥포,1
49,강서,119구급대,다사,2
50,강서,119구급대,성서,1
51,강서,119구급대,대천,1
52,강서,119구급대,매곡,1
